SK_LOCALIDADE,VERSAO,DT_INICIO,DT_FIM,NK_ID_LOCALIDADE,NM_NEIGHBOURHOOD_GROUP,NM_NEIGHBOURHOOD,CD_LATITUDE,CD_LONGITUDE
167,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,166,Manhattan                                                                                                                                                                                                                                                 ,Marble Hill                                                                                                                                                                                                                                               ,40.87494            ,-73.91057           
168,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,167,Staten Island                                                                                                                                                                                                                                             ,Dongan Hills                                                                                                                                                                                                                                              ,40.58115            ,-74.09182           
169,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,168,Staten Island                                                                                                                                                                                                                                             ,Castleton Corners                                                                                                                                                                                                                                         ,40.61363            ,-74.12152           
170,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,169,Bronx                                                                                                                                                                                                                                                     ,East Morrisania                                                                                                                                                                                                                                           ,40.82873            ,-73.89553           
171,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,170,Bronx                                                                                                                                                                                                                                                     ,Hunts Point                                                                                                                                                                                                                                               ,40.81335            ,-73.8873            
172,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,171,Queens                                                                                                                                                                                                                                                    ,Neponsit                                                                                                                                                                                                                                                  ,40.57215            ,-73.85822           
173,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,172,Bronx                                                                                                                                                                                                                                                     ,Pelham Bay                                                                                                                                                                                                                                                ,40.84423            ,-73.83602           
174,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,173,Staten Island                                                                                                                                                                                                                                             ,Randall Manor                                                                                                                                                                                                                                             ,40.63878            ,-74.10636           
175,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,174,Bronx                                                                                                                                                                                                                                                     ,Throgs Neck                                                                                                                                                                                                                                               ,40.81476            ,-73.80001           
176,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,175,Staten Island                                                                                                                                                                                                                                             ,Todt Hill                                                                                                                                                                                                                                                 ,40.60926            ,-74.10092           
177,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,176,Bronx                                                                                                                                                                                                                                                     ,West Farms                                                                                                                                                                                                                                                ,40.84328            ,-73.88173           
178,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,177,Staten Island                                                                                                                                                                                                                                             ,Silver Lake                                                                                                                                                                                                                                               ,40.62257            ,-74.09984           
179,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,178,Bronx                                                                                                                                                                                                                                                     ,Morrisania                                                                                                                                                                                                                                                ,40.82424            ,-73.91316           
180,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,179,Queens                                                                                                                                                                                                                                                    ,Laurelton                                                                                                                                                                                                                                                 ,40.67168            ,-73.74744           
181,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,180,Staten Island                                                                                                                                                                                                                                             ,Grymes Hill                                                                                                                                                                                                                                               ,40.61201            ,-74.09513           
182,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,181,Queens                                                                                                                                                                                                                                                    ,Holliswood                                                                                                                                                                                                                                                ,40.72402            ,-73.76828           
183,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,182,Bronx                                                                                                                                                                                                                                                     ,Pelham Gardens                                                                                                                                                                                                                                            ,40.86617            ,-73.848             
184,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,183,Bronx                                                                                                                                                                                                                                                     ,Belmont                                                                                                                                                                                                                                                   ,40.85487            ,-73.88711           
